LOGGER (Client1): Mon Jun 19 18:35:36 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:37 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:39 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:40 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:42 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:43 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:45 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:46 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:48 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:49 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:51 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:52 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:54 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:55 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:57 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:58 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:00 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:01 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:03 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:04 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:06 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:07 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:09 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:11 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:12 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:14 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:15 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:17 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:18 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:20 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:21 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:23 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:24 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:26 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:27 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:29 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:30 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:32 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:33 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:35 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:36 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:38 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:39 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:41 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:42 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:36:44 CEST 2017 - Invoked invitation with username=CIROO
